ICMP,Phylum,TestedAgainst,Strain,Media,BioRep,Condition,TechRep,Age,SizePercent,ZOISize_old,Neg_control,ZOISize,TimePoint,Lux,LogInhibition,Researcher
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,PDA,1,NA,1,NA,NA,NA,NA,NA,3,728,2.834117515,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,PDA,1,NA,2,NA,NA,NA,NA,NA,3,562,2.946512579,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,PDA,1,NA,3,NA,NA,NA,NA,NA,3,390,3.105184287,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,OA,1,NA,1,NA,NA,NA,NA,NA,3,4,4.992814105,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,OA,1,NA,2,NA,NA,NA,NA,NA,3,4,4.992814105,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,OA,1,NA,3,NA,NA,NA,NA,NA,3,2,5.2938441,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,CSA,1,NA,1,NA,NA,NA,NA,NA,3,2178,1.333512965,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,CSA,1,NA,2,NA,NA,NA,NA,NA,3,4808,0.989606382,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,CSA,1,NA,3,NA,NA,NA,NA,NA,3,4546,1.013941409,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,MEA,1,NA,1,NA,NA,NA,NA,NA,3,692,2.789224998,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,MEA,1,NA,2,NA,NA,NA,NA,NA,3,978,2.638992238,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,MEA,1,NA,3,NA,NA,NA,NA,NA,3,956,2.6488732,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,REA,1,NA,1,NA,NA,NA,NA,NA,3,2500,1.291998964,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,REA,1,NA,2,NA,NA,NA,NA,NA,3,2160,1.355485221,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,REA,1,NA,3,NA,NA,NA,NA,NA,3,3418,1.156166914,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,CYA,1,NA,1,NA,NA,NA,NA,NA,3,1322,2.55118323,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,CYA,1,NA,2,NA,NA,NA,NA,NA,3,646,2.862182167,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,CYA,1,NA,3,NA,NA,NA,NA,NA,3,438,3.030940574,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,MYA,1,NA,1,NA,NA,NA,NA,NA,3,872,3.229645449,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,MYA,1,NA,2,NA,NA,NA,NA,NA,3,2722,2.735273813,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,MYA,1,NA,3,NA,NA,NA,NA,NA,3,9732,2.181959833,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,TYA,1,NA,1,NA,NA,NA,NA,NA,3,1044,2.687810753,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,TYA,1,NA,2,NA,NA,NA,NA,NA,3,1552,2.515619534,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,TYA,1,NA,3,NA,NA,NA,NA,NA,3,258,3.294891545,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,PDA,1,NA,1,NA,NA,NA,NA,NA,3,88,1.457950674,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,PDA,1,NA,2,NA,NA,NA,NA,NA,3,72,1.54510085,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,PDA,1,NA,3,NA,NA,NA,NA,NA,3,78,1.510338744,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,OA,1,NA,1,NA,NA,NA,NA,NA,3,1,4.364025397,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,OA,1,NA,2,NA,NA,NA,NA,NA,3,2,4.062995401,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,OA,1,NA,3,NA,NA,NA,NA,NA,3,1,4.364025397,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CSA,1,NA,1,NA,NA,NA,NA,NA,3,4696,0.160397454,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CSA,1,NA,2,NA,NA,NA,NA,NA,3,3478,0.290795965,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CSA,1,NA,3,NA,NA,NA,NA,NA,3,2972,0.359076737,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,REA,1,NA,1,NA,NA,NA,NA,NA,3,6452,-0.519659747,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,REA,1,NA,2,NA,NA,NA,NA,NA,3,7796,-0.601837219,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,REA,1,NA,3,NA,NA,NA,NA,NA,3,7712,-0.59713241,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CYA,1,NA,1,NA,NA,NA,NA,NA,3,448,-1.447158031,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CYA,1,NA,2,NA,NA,NA,NA,NA,3,532,-1.52179165,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CYA,1,NA,3,NA,NA,NA,NA,NA,3,1062,-1.822004534,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,TYA,1,NA,1,NA,NA,NA,NA,NA,3,30,2.902365559,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,TYA,1,NA,2,NA,NA,NA,NA,NA,3,12,3.300305568,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,TYA,1,NA,3,NA,NA,NA,NA,NA,3,22,3.037064133,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,PDA,2,NA,1,NA,NA,NA,NA,NA,3,98,-0.69019608,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,PDA,2,NA,2,NA,NA,NA,NA,NA,3,44,-0.342422681,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,PDA,2,NA,3,NA,NA,NA,NA,NA,3,72,-0.556302501,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,OA,2,NA,1,NA,NA,NA,NA,NA,3,6,0.477121255,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,OA,2,NA,2,NA,NA,NA,NA,NA,3,8,0.352182518,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,OA,2,NA,3,NA,NA,NA,NA,NA,3,10,0.255272505,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CSA,2,NA,1,NA,NA,NA,NA,NA,3,2218,0.004286477,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CSA,2,NA,2,NA,NA,NA,NA,NA,3,3756,-0.224477565,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CSA,2,NA,3,NA,NA,NA,NA,NA,3,2750,-0.089084675,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,MEA,2,NA,1,NA,NA,NA,NA,NA,3,82,-0.408663874,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,MEA,2,NA,2,NA,NA,NA,NA,NA,3,70,-0.339948062,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,MEA,2,NA,3,NA,NA,NA,NA,NA,3,134,-0.62195482,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,REA,2,NA,1,NA,NA,NA,NA,NA,3,3956,-0.573592365,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,REA,2,NA,2,NA,NA,NA,NA,NA,3,6610,-0.796537541,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,REA,2,NA,3,NA,NA,NA,NA,NA,3,3950,-0.572933177,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CYA,2,NA,1,NA,NA,NA,NA,NA,3,2402,-1.511341283,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CYA,2,NA,2,NA,NA,NA,NA,NA,3,4162,-1.750070356,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,CYA,2,NA,3,NA,NA,NA,NA,NA,3,3584,-1.685136281,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,MYA,2,NA,1,NA,NA,NA,NA,NA,3,48,-0.266267889,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,MYA,2,NA,2,NA,NA,NA,NA,NA,3,58,-0.348454646,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,MYA,2,NA,3,NA,NA,NA,NA,NA,3,18,0.159700843,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,TYA,2,NA,1,NA,NA,NA,NA,NA,3,268,-0.428134794,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,TYA,2,NA,2,NA,NA,NA,NA,NA,3,140,-0.146128036,Alex
432,Zygomycete,Mycobacterium marinum,G13 Lux,TYA,2,NA,3,NA,NA,NA,NA,NA,3,76,0.119186408,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,PDA,2,NA,1,NA,NA,NA,NA,NA,3,400,2.964667327,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,PDA,2,NA,2,NA,NA,NA,NA,NA,3,320,3.06157734,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,PDA,2,NA,3,NA,NA,NA,NA,NA,3,242,3.182911952,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,OA,2,NA,1,NA,NA,NA,NA,NA,3,10,1.338456494,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,OA,2,NA,2,NA,NA,NA,NA,NA,3,12,1.259275248,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,OA,2,NA,3,NA,NA,NA,NA,NA,3,40,0.736396502,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,CSA,2,NA,1,NA,NA,NA,NA,NA,3,5220,0.951832331,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,CSA,2,NA,2,NA,NA,NA,NA,NA,3,5576,0.923180069,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,CSA,2,NA,3,NA,NA,NA,NA,NA,3,5722,0.911954981,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,MEA,2,NA,1,NA,NA,NA,NA,NA,3,80,3.80566734,Alex
432,Zygomycete,Mycobacterium abscessus,NZRM4048 Lux,MEA,2,NA,2,NA,NA,NA,NA,NA,3,2190,2.368313212,Alex
